Txn Date,Quarter,Description,Type,Details,Amount,Apartment Number
02-04-2026,Q1,Payment:  NEFT Cr-HDFCH00904314421-HDFC0000001-K SUREKHA SRIDHAR--0001-D 303,Payment,2025SPC,10000,D303
03-04-2026,Q1,Payment:  NEFT Cr-AXOMB09302169779-UTIB0000333-ANITA SHOBHA FLYNN--Others-April maintenance,Payment,2026MN1,7500,C103
06-04-2026,Q1,Payment:  UPI/CR/300259442131/RAVI  SRI/SURY/**77401@ptyes/Sent usi//PTM3f37af02848443158a41892361bb2a77/06/04/2026 15:01:55,Payment,2026MN1,20385,E202
06-04-2026,Q1,Payment:  UPI/CR/108926352536/SHAH  ALAM/SBIN/**ofsbi@axl/Payment //AXL22aa4943370c44f0ab63fefdf7293f24/06/04/2026 15:28:37,Payment,2026MN1,22500,D001
06-04-2026,Q1,Payment:  NEFT Cr-IN12609631894681-ICIC0SF0002-DILIP JOSE P--D002MAINT,Payment,2026MN1,18270,D002
06-04-2026,Q1,Payment:  INET-IMPS-CR/UMAKANTHAN/ICICI Bank/005101001788/C101/9998987115/06/04/2026 16:31:21/609616801634,Payment,2026MN1,22500,C101
06-04-2026,Q1,Payment:  NEFT Cr-HDFCH00913790376-HDFC0000001-A L KRISHNAN--0001-D003 1st qtr maint,Payment,2026MN1,22500,D003
06-04-2026,Q1,Payment:  NEFT Cr-IN12609631907740-ICIC0SF0002-AVINASH GOPAL GHODGAONKAR-,Payment,2026MN1,22500,A301
06-04-2026,Q1,Payment:  NEFT Cr-SBIN426096048818-SBIN0003301-THOMAS RONY MATHEW--/ATTN/,Payment,2026MN1,22500,B001
06-04-2026,Q1,Payment:  NEFT Cr-HDFCH00914609287-HDFC0000001-SUBRAMANIAN NARAYANAN IYER--0001-D301 Q1 maintenanc,Payment,2026MN1,22500,D301
07-04-2026,Q1,Payment:  NEFT Cr-AXOMB09702090646-UTIB0005157-APPACHU KARUMBAIAH K S--Others-maintenance charges,Payment,2026MN1,22500,C001
07-04-2026,Q1,Payment:  IB IFT 40996100 0792118003910 VIJAYA R VASU   OTH-B002Q1 maintenance April 2627,Payment,2026MN1,22500,B002
07-04-2026,Q1,Payment:  IB IFT 42817800 0792118003910 VIJAYA R VASU   OTH-Swimming pool capex 2 1 inst april 2026,Payment,2026MN1,6667,B002
07-04-2026,Q1,Payment:  MOB-IMPS-CR/SUSHMA RAN/IndusInd B/152408198000/P2AMOB/0000000000/07/04/2026 17:50:22/609717756818,Payment,2026MN1,22500,B302
07-04-2026,Q1,Payment:  INET-IMPS-CR/SKANDAN V/HDFCBANKLT/50100284365485/IMPS trans/8147986900/07/04/2026 18:42:16/609745800308,Payment,2026MN1,22500,D203
08-04-2026,Q1,Payment:  NEFT Cr-HSBCN09835962250-HSBC0560002-MS MANJULA KRISHNA--/ACC/NEFT,Payment,2026MN1,22500,B201
08-04-2026,Q1,Payment:  NEFT Cr-IN12609832191070-ICIC0SF0002-JAYARAMAN SUSILA--APRTOJUN26MAINT,Payment,2026MN1,22500,E301
08-04-2026,Q1,Payment:  NEFT Cr-AXSK260980003934-UTIB0000052-BRITISH BIOLOGICALS PRIVATE LIMITED-,Payment,2026MN1,20370,D202
08-04-2026,Q1,Payment:  NEFT Cr-HDFCH00921192081-HDFC0000001-NATARAJAN NARAYANAN SANKARA--0001-E101 Q1 Maintenanc,Payment,2026MN1,22500,E101
08-04-2026,Q1,Payment:  UPI/CR/161327216900/PRIYANKSA/ICIC/**07632@upi/NO REMARKS//UPIed59cf90468851818342bbd474bba314/08/04/2026 16:13:27,Payment,2026MN1,22500,A001
09-04-2026,Q1,Payment:  NEFT Cr-HDFCH00923063407-HDFC0000001-BHASKAR ROY--0001-Q1 maintenance,Payment,2026MN1,22500,D101
09-04-2026,Q1,Payment:  MOB-IMPS-CR/ANANYA H P/ICICI Bank/720201500559/IMPS Trans/9481393912/09/04/2026 09:53:40/609909675627,Payment,2026MN1,20385,E302
09-04-2026,Q1,Payment:  NEFT Cr-AXOMB09902030276-UTIB0004163-VISHRAM  MARATHE-,Payment,2026MN1,18180,C002
09-04-2026,Q1,Payment:  NEFT Cr-IN12609932373578-ICIC0SF0002-KIRTIBHUSHAN BHALERAO--MAINTENANCE E002,Payment,2026MN1,18165,E002
09-04-2026,Q1,Payment:  NEFT Cr-KKBKH26099685810-KKBK0000958-PRIYA NATARAJAN--Payment,Payment,2026MN1,22500,A102
09-04-2026,Q1,Payment:  NEFT Cr-HDFCH00923275456-HDFC0000001-NARESH BABU SUNKARA--0001-A 101 MAINTENANCE,Payment,2026MN1,22500,A101
09-04-2026,Q1,Payment:  NEFT Cr-KKBKH26099704085-KKBK0000958-SUKUMAR GRANDHI JAYACHANDRA--Payment,Payment,2026MN1,22500,C303
09-04-2026,Q1,Payment:  IB IFT 21309900 2753101000227 NARAYANA RAO P S OTH-E201maintenance,Payment,2026MN1,22500,E201
09-04-2026,Q1,Payment:  MOB-IMPS-CR/MURLI RAGH/KMB       /8879553017/KKBKTransf/8879553017/09/04/2026 13:50:57/609913514331,Payment,2026MN1,22500,C301
09-04-2026,Q1,Payment:  NEFT Cr-HSBCN09936430261-HSBC0560002-MS MANJULA KRISHNA--/ACC/NEFT,Payment,2026MN1,22500,B202
10-04-2026,Q1,Payment:  INET-IMPS-CR/ABRAHAMPRA/AXIS BANK /913010008879725/E102Q12026/9845804120/10/04/2026 08:18:41/610086374948,Payment,2026MN1,20190,E102
10-04-2026,Q1,Payment:  NEFT Cr-HDFCH00925537198-HDFC0000001-A SRINIVASU--0001-A302,Payment,2026MN1,22500,A302
