Apartment Number,Mobile Code
A001,1001
A002,1002
A101,1101
A102,1102
A201,1201
A202,1202
A301,1301
A302,1302
B001,2001
B002,2002
B101,2101
B102,2102
B201,2201
B202,2202
B301,2301
B302,2302
C001,3001
C002,3002
C003,3003
C101,3101
C102,3102
C103,3103
C201,3201
C202,3202
C203,3203
C301,3301
C302,3302
C303,3303
D001,4001
D002,4002
D003,4003
D101,4101
D102,4102
D103,4103
D201,4201
D202,4202
D203,4203
D301,4301
D303,4303
E001,5001
E002,5002
E101,5101
E102,5102
E201,5201
E202,5202
E301,5301
E302,5302
